site,name,country,lon,lat,elev,IGBP,MAP,MAT,tier1,tier2,url
RU-Fyo,Fyodorovskoye,Russia,32.92208,56.46153,265,ENF,711,3.9,1998-2014,1998-2014,http://sites.fluxdata.org/RU-Fyo/
RU-Ha1,Hakasia steppe,Russia,90.00215,54.72517,446,GRA,591.87,-0.07,2002-2004,2002-2004,http://sites.fluxdata.org/RU-Ha1/
RU-Sam,Samoylov,Russia,126.4958,72.3738,"",GRA,"","","",2002-2014,http://sites.fluxdata.org/RU-Sam/
RU-SkP,Yakutsk Spasskaya Pad larch,Russia,129.1680,62.2550,246,DNF,"","","",2012-2014,http://sites.fluxdata.org/RU-SkP/
RU-Tks,Tiksi,Russia,128.88782,71.59427,7,GRA,323,-12.7,"",2010-2014,http://sites.fluxdata.org/RU-Tks/
RU-Vrk,Seida/Vorkuta,Russia,62.94047,67.05468,100,CSH,501,-5.6,"",2008-2008,http://sites.fluxdata.org/RU-Vrk/
SD-Dem,Demokeya,Sudan,30.4783,13.2829,500,SAV,320,26,2005-2009,2005-2009,http://sites.fluxdata.org/SD-Dem/
SE-St1,Stordalen grassland,Sweden,19.05033,68.35415,351,WET,303.3,-0.7,"",2012-2014,http://sites.fluxdata.org/SE-St1/
SN-Dhr,Dahra,Senegal,-15.43222,15.40278,40,SAV,404,29,2010-2013,2010-2013,http://sites.fluxdata.org/SN-Dhr/
US-AR1,ARM USDA UNL OSU Woodward Switchgrass 1,USA,-99.4200,36.4267,611,GRA,"","",2009-2012,2009-2012,http://sites.fluxdata.org/US-AR1/
US-AR2,ARM USDA UNL OSU Woodward Switchgrass 2,USA,-99.5975,36.6358,646,GRA,"","",2009-2012,2009-2012,http://sites.fluxdata.org/US-AR2/
US-ARM,ARM Southern Great Plains site- Lamont,USA,-97.4888,36.6058,314,CRO,843,14.76,2003-2012,2003-2012,http://sites.fluxdata.org/US-ARM/
US-ARb,ARM Southern Great Plains burn site- Lamont,USA,-98.0402,35.5497,424,GRA,"","",2005-2006,2005-2006,http://sites.fluxdata.org/US-ARb/
US-ARc,ARM Southern Great Plains control site- Lamont,USA,-98.0400,35.54649,424,GRA,"","",2005-2006,2005-2006,http://sites.fluxdata.org/US-ARc/
US-Atq,Atqasuk,USA,-157.4089,70.4696,15.00,WET,93,-9.7,"",2003-2008,http://sites.fluxdata.org/US-Atq/
US-Blo,Blodgett Forest,USA,-120.6328,38.8953,1315,ENF,1226,11.09,1997-2007,1997-2007,http://sites.fluxdata.org/US-Blo/
US-CRT,Curtice Walter-Berger cropland,USA,-83.347086,41.628495,180,CRO,849,10.1,"",2011-2013,http://sites.fluxdata.org/US-CRT/
US-Cop,Corral Pocket,USA,-109.39,38.09,1520,GRA,"","",2001-2007,2001-2007,http://sites.fluxdata.org/US-Cop/
US-GBT,GLEES Brooklyn Tower,USA,-106.2397,41.36579,3191,ENF,1200,0.80,1999-2006,1999-2006,http://sites.fluxdata.org/US-GBT/
US-GLE,GLEES,USA,-106.2399,41.36653,3197,ENF,1200,0.80,2004-2014,2004-2014,http://sites.fluxdata.org/US-GLE/
US-Goo,Goodwin Creek,USA,-89.8735,34.2547,87,GRA,1425.77,15.89,"",2002-2006,http://sites.fluxdata.org/US-Goo/
US-Ha1,Harvard Forest EMS Tower (HFR1),USA,-72.1715,42.5378,340,DBF,1071,6.62,1991-2012,1991-2012,http://sites.fluxdata.org/US-Ha1/
US-IB2,Fermi National Accelerator Laboratory- Batavia (Prairie site),USA,-88.2410300,41.8406200,226.5,GRA,930.25,9.04,"",2004-2011,http://sites.fluxdata.org/US-IB2/
US-Ivo,Ivotuk,USA,-155.7503,68.4865,568.00,WET,304,-8.28,"",2004-2007,http://sites.fluxdata.org/US-Ivo/
US-KS1,Kennedy Space Center (slash pine),USA,-80.6709,28.4583,1.00,ENF,1266,21.90,"",2002-2002,http://sites.fluxdata.org/US-KS1/
US-KS2,Kennedy Space Center (scrub oak),USA,-80.6715,28.6086,3.00,CSH,1294,21.66,2003-2006,2003-2006,http://sites.fluxdata.org/US-KS2/
US-LWW,Little Washita Watershed,USA,-97.9789,34.9604,365,GRA,805.12,16.09,"",1997-1998,http://sites.fluxdata.org/US-LWW/
US-Lin,Lindcove Orange Orchard,USA,-119.84230,36.35660,131,CRO,"","","",2009-2010,http://sites.fluxdata.org/US-Lin/
US-Los,Lost Creek,USA,-89.9792,46.0827,480.00,WET,828,4.08,2000-2014,2000-2014,http://sites.fluxdata.org/US-Los/
US-MMS,Morgan Monroe State Forest,USA,-86.4131,39.3232,275,DBF,1032,10.85,1999-2014,1999-2014,http://sites.fluxdata.org/US-MMS/
US-Me1,Metolius - Eyerly burn,USA,-121.5000,44.5794,896,ENF,704.61,7.88,2004-2005,2004-2005,http://sites.fluxdata.org/US-Me1/
US-Me2,Metolius mature ponderosa pine,USA,-121.5574,44.4523,1253,ENF,523,6.28,2002-2014,2002-2014,http://sites.fluxdata.org/US-Me2/
US-Me3,Metolius-second young aged pine,USA,-121.6078,44.3154,1005,ENF,719,7.07,"",2004-2009,http://sites.fluxdata.org/US-Me3/
US-Me4,Metolius-old aged ponderosa pine,USA,-121.6224,44.4992,922,ENF,1038.82,7.61,"",1996-2000,http://sites.fluxdata.org/US-Me4/
US-Me5,Metolius-first young aged pine,USA,-121.5667600,44.4371900,1188,ENF,590.81,6.47,"",2000-2002,http://sites.fluxdata.org/US-Me5/
US-Me6,Metolius Young Pine Burn,USA,-121.6078,44.3232842,998,ENF,494.34068966,7.5949137931,2010-2014,2010-2014,http://sites.fluxdata.org/US-Me6/
US-Myb,Mayberry Wetland,USA,-121.76498,38.049861,-4,WET,338,15.9,2010-2014,2010-2014,http://sites.fluxdata.org/US-Myb/
US-NR1,Niwot Ridge Forest (LTER NWT1),USA,-105.5464,40.0329,3050,ENF,800,1.5,1998-2014,1998-2014,http://sites.fluxdata.org/US-NR1/
US-Ne1,Mead - irrigated continuous maize site,USA,-96.4766400,41.1650600,361,CRO,790.37,10.07,2001-2013,2001-2013,http://sites.fluxdata.org/US-Ne1/
US-Ne2,Mead - irrigated maize-soybean rotation site,USA,-96.4701,41.1648700,362,CRO,788.89,10.08,2001-2013,2001-2013,http://sites.fluxdata.org/US-Ne2/
US-Ne3,Mead - rainfed maize-soybean rotation site,USA,-96.4396500,41.1796700,363,CRO,783.68,10.11,2001-2013,2001-2013,http://sites.fluxdata.org/US-Ne3/
US-ORv,Olentangy River Wetland Research Park,USA,-83.0183,40.0201,221,WET,1499.1,11.63,2011-2011,2011-2011,http://sites.fluxdata.org/US-ORv/
US-Oho,Oak Openings,USA,-83.8438,41.5545,230,DBF,849,10.1,"",2004-2013,http://sites.fluxdata.org/US-Oho/
